,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0.06583968798319499,0.03972613150804929,0.0037426153818766275,0.0006223864327215308,0.5,10,0,20,0.6,"{'colsample_bytree': 0.5, 'max_depth': 10, 'min_child_weight': 0, 'n_estimators': 20, 'subsample': 0.6}",-4009.6245608557433,-3348.551707856521,-3175.787444479804,-3511.3212377306895,359.3434049792564,1483,-1629.2489505337496,-1294.8473054425058,-1223.9739766468347,-1382.6900775410302,176.72806902550377
1,0.04361414909362793,0.013992243948987204,0.0038411617279052734,0.00053536076586578,0.5,10,0,20,0.8,"{'colsample_bytree': 0.5, 'max_depth': 10, 'min_child_weight': 0, 'n_estimators': 20, 'subsample': 0.8}",-3891.382397137811,-3534.308615125701,-3226.662783058467,-3550.78459844066,271.6206114602917,1553,-1241.45828068449,-985.6566335741944,-910.5546399938476,-1045.8898514175107,141.64588534887687
2,0.035407702128092446,0.007649024342871807,0.00338594118754069,0.0002034171457035574,0.5,10,0,20,1,"{'colsample_bytree': 0.5, 'max_depth': 10, 'min_child_weight': 0, 'n_estimators': 20, 'subsample': 1}",-3652.810038105056,-3669.5570688814487,-3647.5270288633883,-3656.6313786166306,9.390869618176636,1730,-1109.8880032673153,-1062.7617394862284,-1065.200374900758,-1079.283372551434,21.66363006843269
3,0.08265463511149089,0.005149356701257041,0.005368391672770183,0.0023809000447756884,0.5,10,0,58,0.6,"{'colsample_bytree': 0.5, 'max_depth': 10, 'min_child_weight': 0, 'n_estimators': 58, 'subsample': 0.6}",-4138.237945428181,-3596.808567460818,-3379.804058325622,-3704.950190404874,318.9320180812885,1823,-547.3311302158618,-526.8423886257833,-540.0463851806653,-538.0733013407702,8.480052195817915
4,0.07349133491516113,0.015130904379107817,0.003685474395751953,0.00014958291210062871,0.5,10,0,58,0.8,"{'colsample_bytree': 0.5, 'max_depth': 10, 'min_child_weight': 0, 'n_estimators': 58, 'subsample': 0.8}",-3876.277168501794,-3733.6095056466065,-3248.708222939295,-3619.5316323625652,268.6025766051201,1677,-313.39710499673185,-321.91097971634696,-336.23743719097337,-323.84850730135076,9.424638049382914
5,0.0696253776550293,0.0048208632995795225,0.003901402155558268,0.0005473466226333409,0.5,10,0,58,1,"{'colsample_bytree': 0.5, 'max_depth': 10, 'min_child_weight': 0, 'n_estimators': 58, 'subsample': 1}",-3636.5751994030506,-3836.422375545088,-3729.521620462515,-3734.173065136884,81.65353801747017,1864,-425.6470413386894,-396.00641020696327,-408.6187460065477,-410.0907325174001,12.14541921021699
6,0.1223450501759847,0.010299304630953488,0.005288918813069661,0.0009166151514361339,0.5,10,0,96,0.6,"{'colsample_bytree': 0.5, 'max_depth': 10, 'min_child_weight': 0, 'n_estimators': 96, 'subsample': 0.6}",-4235.41129064673,-3682.0082503093304,-3461.7418651434464,-3793.0538020331683,325.46318881237954,1966,-215.07872593708112,-290.1815822402076,-321.5065539781775,-275.5889540518221,44.65743121041666
7,0.1153854529062907,0.010038906391901536,0.0039548079172770185,0.00020184845396891953,0.5,10,0,96,0.8,"{'colsample_bytree': 0.5, 'max_depth': 10, 'min_child_weight': 0, 'n_estimators': 96, 'subsample': 0.8}",-3925.5450741063396,-3781.236920623683,-3279.46047931514,-3662.0808246817214,276.89342992894655,1750,-99.21840774520727,-155.8682305943532,-176.2147185436498,-143.76711896107008,32.57745279804704
8,0.11112300554911296,0.011826783843110195,0.004801432291666667,0.0006648276986132217,0.5,10,0,96,1,"{'colsample_bytree': 0.5, 'max_depth': 10, 'min_child_weight': 0, 'n_estimators': 96, 'subsample': 1}",-3671.2874108424503,-3909.824247898262,-3760.8597212997774,-3780.6571266801634,98.38329330733008,1940,-204.7221388486255,-189.97352742524376,-208.85062488613994,-201.1820970533364,8.102885250384107
9,0.14926576614379883,0.012964069405051664,0.0040743350982666016,0.000249159164699227,0.5,10,0,134,0.6,"{'colsample_bytree': 0.5, 'max_depth': 10, 'min_child_weight': 0, 'n_estimators': 134, 'subsample': 0.6}",-4258.857324689953,-3721.2215358217154,-3487.400698866923,-3822.4931864595305,322.9843048805359,2023,-96.34204990983967,-142.13875088394113,-171.46640439918176,-136.6490683976542,30.914070364051245
10,0.15503334999084473,0.004073425360552356,0.0051097869873046875,0.0013498762778026174,0.5,10,0,134,0.8,"{'colsample_bytree': 0.5, 'max_depth': 10, 'min_child_weight': 0, 'n_estimators': 134, 'subsample': 0.8}",-3929.8104295201497,-3813.4391388775703,-3296.4450622150684,-3679.898210204263,275.2729637391125,1780,-35.478855852088515,-67.92865310977393,-91.48245127785448,-64.96332007990564,22.959320186462254
11,0.13664833704630533,0.006385182178206443,0.004277785619099935,0.000434213422130644,0.5,10,0,134,1,"{'colsample_bytree': 0.5, 'max_depth': 10, 'min_child_weight': 0, 'n_estimators': 134, 'subsample': 1}",-3705.2995085317616,-3930.546598317015,-3779.5858576668675,-3805.1439881718816,93.71579870496763,1983,-99.42616028129869,-112.3606821642474,-134.57426962812306,-115.45370402455637,14.514877099843517
