,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0,0.04240647951761881,0.006844496081189738,0.00805505116780599,0.0028094489019146,True,10,sqrt,1,2,20,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 20}",-2820.7896309984276,-2620.1076098322424,-2840.5603320844466,-2760.485857638372,99.59002459482768,337,-1373.2197166511012,-1499.8564998936454,-1454.5887885963316,-1442.5550017136927,52.39483268133325
1,0.1045702298482259,0.031305068185697935,0.008086919784545898,0.000324106886401262,True,10,sqrt,1,2,58,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 58}",-2927.6276040270504,-2707.4897161194763,-2880.5866274595796,-2838.5679825353686,94.65497808374758,806,-1369.4784666687156,-1414.250224678677,-1375.5330807120588,-1386.4205906864838,19.833153790358814
2,0.14389467239379883,0.008260572743318276,0.01246174176534017,0.0006990463729628952,True,10,sqrt,1,2,96,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 96}",-2841.819594508542,-2612.0057457787493,-2716.992557018813,-2723.6059657687015,93.93758264035348,264,-1348.5578438302757,-1396.2466815249077,-1316.2220278961947,-1353.6755177504594,32.86973518668164
3,0.17857901255289713,0.005092748634609981,0.01517502466837565,0.0002921586841479496,True,10,sqrt,1,2,134,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 134}",-2807.177733023162,-2625.5253378411358,-2712.5339279403047,-2715.078999601534,74.18111265078356,238,-1323.5132238102399,-1382.3775305603338,-1339.7325919720195,-1348.5411154475312,24.825312574819886
4,0.23168357213338217,0.007394968447387049,0.027103424072265625,0.00019274870365208703,True,10,sqrt,1,2,172,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 172}",-2842.9949521474978,-2610.1940176869034,-2769.63182692228,-2740.9402655855606,97.18186744582054,300,-1330.3859927767685,-1353.5416226984637,-1307.88866307178,-1330.6054261823374,18.63838859153356
5,0.28529151280721027,0.011831213265391424,0.02401312192281087,0.0007686372755244627,True,10,sqrt,1,2,210,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 210}",-2802.382311040159,-2587.6079254720885,-2741.907701124131,-2710.632645878793,90.42715663075548,225,-1309.402314384919,-1358.3016610863958,-1315.4079784911805,-1327.7039846541652,21.774302172177247
6,0.323039452234904,0.0003134602822195091,0.026416301727294922,0.0005030420714727044,True,10,sqrt,1,2,248,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 248}",-2844.639713879975,-2599.7129634187936,-2726.6869396732254,-2723.6798723239976,100.01353279565228,266,-1308.5898691199548,-1373.2510091330219,-1336.996322007335,-1339.6124000867705,26.462535219131265
7,0.37102023760477704,0.0020584121807948616,0.030651092529296875,0.0009807528626124171,True,10,sqrt,1,2,286,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 286}",-2873.7514383676425,-2625.815835211405,-2726.3280915620985,-2741.9651217137157,101.82142329288648,302,-1326.28170589179,-1354.4273117932967,-1309.1548015469173,-1329.954606410668,18.664006262827797
8,0.5373138586680094,0.07217304470362,0.050536553064982094,0.02145770896478716,True,10,sqrt,1,2,324,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 324}",-2835.7355537754056,-2613.030734448749,-2738.0739764340524,-2728.946754886069,91.1476412849656,279,-1328.1782464504602,-1368.9734294725997,-1324.7316786232707,-1340.6277848487769,20.092724791192424
9,0.48525261878967285,0.00706001670012266,0.039359331130981445,0.00032459835119930065,True,10,sqrt,1,2,362,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 362}",-2864.619158369681,-2578.227413546503,-2749.1819854710575,-2730.6761857957476,117.64893069901677,282,-1306.6046170147652,-1361.2035730477617,-1334.9970741922873,-1334.2684214182711,22.295884539858957
10,0.5271846453348795,0.0016232348655682378,0.043306430180867515,0.000224571346464868,True,10,sqrt,1,2,400,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",-2806.665002940057,-2583.8900784081507,-2715.625770804497,-2702.0602840509014,91.45193117405313,175,-1303.7079836904204,-1359.4298471352445,-1324.6543512654298,-1329.2640606970315,22.980695989224724
